('38375e5428c052d172da731a4c854ead9ace7bea0036e3c2568a06a8cc68f8f2', (('0', '0.01'), ('1', 'b2add0cbd618593d503e50848e1cfc4bf32b80483f20070805d1dc8bf36010e5')))
('1a35c0f953886462e44b2455159ef259b5861f2c164cf1b5b9afc5dc0beb4f54', (('1', '0.2'), ('0', 'cd5b0b0ccea9bf2a57e95fdc83870513c65105968ea9f1f91c665d4f8cf39331')))
('a7887e1261a2026dcc155a09c9b1d85fcf582d76657222fb2844e9502459c987', (('0', '0.004'), ('1', 'd485d99d0e1e1b38433623775205a05939a87598e0eacab672aec4fdde8e413d')))
('5861fcef91c86ba20890bea3cf994baad36743127f9be905732108d7ba2775af', (('1', '0.002'), ('0', '53ad22b614a9b83324d6554ab72d165f43d42baed810a6309c6c70e0fb4f45a7')))
('b5995cca21585c1b83838d5c654c24b4ad25ef717563758ea38cb0f019f9fa50', (('103', '1e-08'), ('104', 'cadfd932a4be36b635b633bd2bf4a2b3de72041b13d8331360cc2b707c8ed27c')))
('5a6c903e7652e78641001af016f4f8df30ed438f850ff8d2ed74a34ee4f8d6c9', (('688', '4e-06'), ('202', '00ab96cd6b520a251c0cd345729c65aafaec8264b266efecdc6fe77a6238e169')))
('af4905654a8d107c9ce1fd5d92c699771efc7e07eb1d32e8f6127a76f2115e78', (('1', '0.099'), ('0', '350c89491fe36cba7ab80fc95246c798ffbd9ef88744b150551a2c5f0557af9c')))
('52036dad159c1af678c6cecf2d144636c977d6c80186cc674069714a0af42735', (('0', '0.01'), ('0', 'c992bfe3289a8c04c521b6268c79589c314a0cd446c675fe568ab23aae55ee1b')))
('52036dad159c1af678c6cecf2d144636c977d6c80186cc674069714a0af42735', (('0', '0.01'), ('1', '7f16d36c7dc6bcfd8f0cd26fac97ef2cc3e67fe3833fc3cb442ceb1fa41cdf3d')))
('7bb828fe89fd33c1b9c343aa38ea602bd7ea7988e2f802c5536be2088d3fcf3d', (('1', '0.318'), ('0', '14617a268e8316c6ec99ed22cab60778d6c56d7f3f6c0e3ad040567c1213d749')))
('0cb44d9e86b351412c1ffc9c8c3b29086c6bca99d2f3068c642120a0a7aae246', (('1', '0.01'), ('0', '698b29e03f1c17a61f8bb735d4bd7c61926db7a25142f93cd04c1bc62f6e80c0')))
('c733e2f0866a0fe5bdcf29ed5c081743a3ddeeea0204239c39c253f0f3aab48a', (('1', '0.34'), ('0', 'bcaa354a5e21533bec2d0b0902d2fe29e2b47a95008bc5e23011403534f92ed1')))
('5b9539024f284aebc8635cf31c732736f92f142c82a225aaa47fba61e62fad32', (('0', '0.01342262'), ('0', 'c615172d30400fb5150203e732fa1043a7c5c4c8cff83f6e43b56fb744c4c544')))
('8b0371ebe3fa924d5c8d45fff5923c7514dcfcaeed426d1c792653aca5f41dd2', (('103', '1e-08'), ('104', '838c3d543f222c5cfa1d5395c0c376e0e586ffab5850ff7767ed1a2c522db4f5')))
('0c4235c5a4878e661d747bc220005f32b132e4e144927bd08baec4104e55634d', (('0', '0.00208'), ('123', 'eec63b9b05cf3dc20d85ebd0b5013c6ae0064a5213ec414f2bb7bcfe178e5a8e')))
('0c4235c5a4878e661d747bc220005f32b132e4e144927bd08baec4104e55634d', (('0', '0.00208'), ('1', '12f5e6120b00bd415aa5bbbaa6692e286ba4074149392fe9723071bc34dc4064')))
('0c4235c5a4878e661d747bc220005f32b132e4e144927bd08baec4104e55634d', (('0', '0.00208'), ('1', 'ebeedc6b8af77e98412548235305175d91cd7300befe917ad3077d60c6a52338')))
('ccee456f5d2b49a2d357641fb2f068923f051337add9a3f9c68d72e913ed867a', (('0', '0.00715023'), ('7', '1074a83733c18d782ccdea3555f67e29d2ac3c903d63960bfd17f88959bdd94f')))
('172a407dd88738f747e94806819b849000c38c767a4c41424b9f7b752646dd6e', (('0', '0.11071231'), ('71', 'c3767d0021afa1339a150bae867741f5fd72c7c0ac269966d9c05b8c70164a07')))
('172a407dd88738f747e94806819b849000c38c767a4c41424b9f7b752646dd6e', (('0', '0.11071231'), ('1', '2e920727ca2967562f0cd3dea6a3c8954a1aa041a391144bf497795ee5c7df7d')))
('172a407dd88738f747e94806819b849000c38c767a4c41424b9f7b752646dd6e', (('0', '0.11071231'), ('0', 'b8f7c460d16feec19e5c58f955562d56b6785f8ae148de81c0a76b2f6220e4b6')))
('1cb7a56e1012e2decd7c28a5d00ca3ff479d96445815ead72a3a16f8316fff20', (('1122', '3.45e-05'), ('79', '141b843d053d53d02802363457e00b6fe55853cc3175746d6190ea5df5978c51')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', 'c0728f5d3e07cfc85f92a545676a4c0e56fbd783f08ce626912eeadae6e6a9e4')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', 'c8ad70637aa91fd09bd1c1b71341479a9afb61a4ade960e4ad771aac0d7d6be5')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', 'dbabedc668dba2baf0838a9fe5c5080952dd54252b2a11e74ade352cafe7c36d')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', 'acbd7fe8702a16003e77e9ab1ceb3d6ddc5a16f20031c78f007db463d3bbc071')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', '8470d67283ded7d03d7edb469d5aaf266ec6ea9e63b64e8982faff48ce9c0b76')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', '9bf501d615885981d0f9ed550d64aec0fd700e36ab8ae974d61995fec5bf0f7e')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', 'b975d9e435c2586cc14d7dbb97e70361bef3fcba459092edfcf1f0d87791c98e')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', '0d821f86ccc7956fbc17d48c6bcb37f569789f748ae19970e50d488fda95d405')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', 'afa5326d857a3194da18cd60274cb613298f9f6020d992ab57620769cea22008')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', '0ad10489a5ae7c75c8222c679559b5b00ba5f19235aed3543f4243bd3e9aa30d')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', '2d6c44b5801e44340bb79221cd598eded1e0ca72cb790d885fa1321b3d296416')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', '5daee5597abf6cdd1883f10d4e1e0cae41093b4674688cfbf12547caeb62d94c')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', 'c2fe266dc1a737314aaf63e3dc8b9a680e2ad7fd5c36a7b672355dcd3188155e')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('0', '228aed4fde820a401a66bc9bf7e260d5ac73c250e01555807307def59bee6369')))
('3293d302b7dbe97038211b4f84cd01ddc8f7a7eedf1e32fc19940efc56bfad87', (('1', '2'), ('1', '8f10a2770f3a504c5fef906a4cd6ea415f2cdc5ba0507219d8aac13dd3c5fd6c')))
('ad9b447f453255fec3f5507773572545e29d872ae994d93a091f99c684f1b129', (('1', '0.5'), ('1', '7f3cfb96d83065026cfd1219758163263ccd37935b4e55ba7763ad47f22fcb08')))
('7d7787469d82c1e2f58e11faed330aa68c75f5339e7c724738a4ee18a1508592', (('0', '1'), ('1', '35450e50d16f3abdf6513e8a3a2e249c7d8ca8e50c8afd4f5842e9a1c145e246')))
('750cfa5be9f36eccba80d5d6af982bc118d63183c4dc79e0d8f47eced15cc234', (('0', '6'), ('0', '2adbcc7a1ae8319f0649fb65703407628b52fb10111acaf1591aebe18eaffeaf')))
('107a35b295600e40c1277078fc0306321d1071cd0dff10e40aa80bb5292c1e49', (('63', '0.001'), ('35', '131cc29906bb30cb6cf5921648ffe75cdbffc109a083fc18c9b4fd3cd06176e9')))
('d78f57b11c122d9b6f8d60bd95b4a5eda442528802dce69735f2c9459f6671f7', (('0', '0.1718'), ('0', 'db257e469f31ea3cda907591341d6ba67eceb47d1d932439d697d74851153564')))
('d78f57b11c122d9b6f8d60bd95b4a5eda442528802dce69735f2c9459f6671f7', (('0', '0.1718'), ('1', '146f2a5cb585994a404ad8a4d24a899ba665f7a67a22847ea33d8a187cd8d613')))
('d78f57b11c122d9b6f8d60bd95b4a5eda442528802dce69735f2c9459f6671f7', (('0', '0.1718'), ('0', '2f95d270e830061939df07bfec0bf0914a5a20a86466780f2fc05867953b60aa')))
('68dc4147774acd7af3a050a4f0d9bdca3228729037b6cb6613f8e4afd91183e9', (('1', '1'), ('1', 'a639f079ed3b253f4c13061fa3c1792a5c2901288d2072f85ede82ca0ff11d58')))
('68dc4147774acd7af3a050a4f0d9bdca3228729037b6cb6613f8e4afd91183e9', (('1', '1'), ('1', '62955016a811b799189bb08b90b19127e8e7fab151d746306f34b478f3cda618')))
('f1ba42152f4b73af7850ceb16f442a59ee87e28f96b273a2710dd243c8ee3230', (('1', '1'), ('1', 'ac3146c25a4b1bf44121ca581adbdf621305ebbd5e7964963503138df22e9986')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('6', 'f2670ae091a6542e8559d380e7c37b8d528bc239e0f8b88cbae4220589020c18')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('44', '50a5106abd01699cee3c3c033e98215b31be3f5fb4e74960d993a0574ffc5a35')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('62', '7854d43d8dc6cdafbb4821cccff03e29ad7b7bcf0bb80a662a4ecac3918aa04b')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('75', '465602e0ddc92a5e84a6a04662ec2fce5a61e7a15ba092c5f3c26718fc159c58')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('8', 'bfd11d42d4dc4fd44f059470e6827171e4e637b54941ba03115c5e9f63646790')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('28', '92ae213acaedbf15f52fed1856e1c66bab6b902954fe13c641d2ecef2017139a')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('204', 'f7d3124fffc4a6e6ed2ea9d42fea47655b31b9222a8788b12244541f567a60c6')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('26', 'fe7e2ac979c3d5cea0882692f09e9bcdba723a8dd064189fe4e04046cae9c8ca')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('50', 'f6dec41f515c040d606b6c1d4f2bc6993a6453dfd4b4889658a3301bab7741cc')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('31', '95350edc5fd8ec751434db82225c11cc4142e25a306d735854144ddae7156dd1')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('86', 'eee19943733677983a81dc618614950ee1ad228a4bad3f5600b2b6e41a1fd5d8')))
('b7e63069d66f64599ef64a3f5240caa3bd8e83ce599d5171536ae8f34e59c22c', (('1', '0.01'), ('165', 'f261a0fd9ce69b31d0a1ddfda3676b8ac9662a9cc8ed7ba18bae6b65e4bd83e8')))
('9e0c3e7794b3ef393630f66cfa006892b12722f1704d8e57195f73784ca8fbff', (('0', '0.0005'), ('2', '74df9fc02b1c27a0c03672fe281bc28a722bcf665b61c0c1841879b96a6e7941')))
('964c39cbdc5e6be04d8f0be34467526196696ec78f274f17dc5cc4394df3c918', (('0', '0.1'), ('1', '7b11256faa77454727c3676e24cffc9de04a6b86ad2e372c8a3b69999a84c578')))
('88e244cb92f7b8f9f3a5b5e591bb611a5a47dce1a5e53496a29c1fddcd31311a', (('1', '0.453'), ('0', '3c658225f812ea81acf1a7ae07bd7f7aafabbbac11ab267acece7ec98f34c357')))
('88e244cb92f7b8f9f3a5b5e591bb611a5a47dce1a5e53496a29c1fddcd31311a', (('1', '0.453'), ('1', 'fcec7e9564fb7e17fb1f5f32f74067f1876f6d28cff5282ee4e5cd2fe0b5829b')))
('88e244cb92f7b8f9f3a5b5e591bb611a5a47dce1a5e53496a29c1fddcd31311a', (('1', '0.453'), ('1', '2a79b59b3477a24e36d2f42c04c201950c7ece72c22eb86f04803c34cf0212a4')))
('88e244cb92f7b8f9f3a5b5e591bb611a5a47dce1a5e53496a29c1fddcd31311a', (('1', '0.453'), ('1', 'de4d108347f638a87ac1db13750cfdef3e75d06c9a5dce392767439270e7f509')))
('88e244cb92f7b8f9f3a5b5e591bb611a5a47dce1a5e53496a29c1fddcd31311a', (('1', '0.453'), ('1', 'fe6cdc14218228b2d4fe97bb5460c7f713a94bae4528d5cc11b51131d825423e')))
('88e244cb92f7b8f9f3a5b5e591bb611a5a47dce1a5e53496a29c1fddcd31311a', (('1', '0.453'), ('1', 'acb0fd824185e2af6fc74dfcae5f29a1cad14ef1e311cfa6847c819afe126d7e')))
('88e244cb92f7b8f9f3a5b5e591bb611a5a47dce1a5e53496a29c1fddcd31311a', (('1', '0.453'), ('1', '676f20c1bf229109b7b7dda4db04166df89a0ca5798c97b080bcc6c55f929889')))
('78bec25457c241a2217b7338a7eeebdd8c44058361f47c512d2c6f5effd28bcc', (('1', '1'), ('1', '6e461ce7a174012f2763ba8ca060fe79aa5eb9a1acdf8d255f4b1348d8110d4b')))
('9fb8d2290d83518ebbc677172c38501d2c3163fe0c930a1322367f950cdac944', (('1', '1'), ('0', '569c41c60bb8c1fd7de867346f79fa8c577763022d23eed29cc117e1becde21f')))
('9fb8d2290d83518ebbc677172c38501d2c3163fe0c930a1322367f950cdac944', (('1', '1'), ('1', '5bcf7fee2754a93d508d6179c19c6e190ef9f8f77f08d4798a5aab8369083457')))
('9fb8d2290d83518ebbc677172c38501d2c3163fe0c930a1322367f950cdac944', (('1', '1'), ('1', 'af51367e060bd701a30708c9b338233252469ebd26d49a48e8298e55ecf4d205')))
('9fb8d2290d83518ebbc677172c38501d2c3163fe0c930a1322367f950cdac944', (('1', '1'), ('18', '465010fbea0c3a1dcce8d6f55a83b2377057a43d4a17f5112dc5319a691775d4')))
('e23417fff0dbadbe6d3815008ed7bf40f46b100eb3c5206e932198651fd888cb', (('1', '1'), ('0', '6f2ab512cd5c10feeeb3440fe69046da89e69961789b878927ee30251ec35cdb')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('0', '1e6d9881a231527158d35a0006ebb8c797bb2930e23b532b2b76393281238d22')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('11', '50d9f5f040ddecd6391387c023137ec13f5733c71621cfa8614fede03e364f55')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('0', '145af9f1a7135b0eecce838d7bab377b56e3fbb7fc37f22222bea9852044cf77')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('8', '3ed86d30554816af40c19dbaa7252a4f8b266a3fc6ae03f760835ae5a5c4b7a2')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('27', '77a4fa375d47fcabe89029185b4638d3064e7b6b7f53f700a0b4745d90bba6ad')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('0', 'f417f0df217908ab4e3f014f1fbf2539cd46a2629ad30bd508d25518be83fbd9')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('16', '8f986ea7c7a378f6a3cfb62b36fe172f76b86bbc41a0f7c8892b53d2953e36da')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('9', '5ef88a76ed3e8bf2506cf8f27f5e8dcbe5cc1e87a062b2de3b5f8b4f08646ae1')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('12', 'b027ac390f2a185bc5ff86ac312951e27ba49f24b4b87f6fc55fb277105424e7')))
('6ae7e4fba8b24a461bbf1473a92b557a9da10777436804505ab5575fd6946655', (('1', '7.4'), ('56', '2fd0cc509018f43a648334f87528ea4b70af6d96ee6e377605428e1a366a5ffc')))
('2965b799bf2b72bf7aeaf68c0827b61a0cee10522c6aadcc97b690fe9efc6d2a', (('1', '1'), ('0', 'e5895838ec2a00d73161ff6e66b52bdb41852b5071ca0aa62ced9bd388c38bb4')))
('04278a6b7e5700c7622c96118bec6c9d20a8d063e88c78ff3c6d58a4e17a247f', (('0', '0.0001'), ('1', '7335b0a37f9fa4e097b80dbfe1810b0e668c248a46797cbee3d14978d1970d9a')))
('900a4c7bff6dc2dac72eeb32a53ca0e2492856e50a0a49ce4fce9d330c3dcbc8', (('0', '0.00302947'), ('1', '52b454aa5421a0be1d79e4e1df5ba068a0d3f7b959162ef0d69a9b8e5e552fae')))
('6b60a098d77e2332df4e66f1f0455e5e4b6e7205634dc8e7f4319b8ed12860ec', (('115', '1e-05'), ('5', 'b30679bf3c688ad8f8b674a25c33399be23234934a488c04b8666f9486c1e5f3')))
('6b60a098d77e2332df4e66f1f0455e5e4b6e7205634dc8e7f4319b8ed12860ec', (('115', '1e-05'), ('2243', 'b30679bf3c688ad8f8b674a25c33399be23234934a488c04b8666f9486c1e5f3')))
('a1f0887331720368305d026e3efabd8f89c844de330185964b33f4806bb64fe9', (('0', '0.005022'), ('0', '83c65d27b40bc54008c73e7dc62eb31db1928c95ff4ad8be98fd5fb3f95ac744')))
('a1f0887331720368305d026e3efabd8f89c844de330185964b33f4806bb64fe9', (('0', '0.005022'), ('1', 'df56c674b6f0fd20f49cada191567ea80ea65d5471c7a5e9408c9cb93ab1da05')))
('213cfaa27dc9fda385351a6e46e87d6dd3a6b8037ffe2e48f9ee46206bcc883d', (('0', '0.09'), ('126', 'd9c39ba8f3028c0b97708443cfd031b5fddf2872d0d1e7f5d22d085e8121b3f0')))
('58b1db2ce13bd17341798dcbe138b7ff561ebc63a089eb1c5a28b02729509f6f', (('1', '0.4'), ('0', '0c2628daec2bae05236b568214f5c146d4bab9d50fdca0c80458ebb8f4e2b553')))
('34ae471a6eab5b3320d46154f97857db63c45dd9acf15af4f7bc29a1cc91b72e', (('1', '5'), ('1', '5687d472e84a5f58649a6ebb7be959847c05cdc0a46b0d1aa81f1cde9523183f')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', '1ad29831ce087d31a095307025aac22849850db71bd9e667b8069e6ddb75d31d')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', '9d79ebfcbade2a93148f63b12a52025dc2ede5d5a4aa51b2b5ef70e013640c22')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', '17af97690aa67bfd3a4dd0692a282a4d5b020ae4c3a3baae06e4dab648e8e049')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', 'e3a5d503a051330d7826ab0333eff7a6c690e29f593eeed3ca7560c7a9e82b62')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', '3635375bdb82022c12e87bb395d661f48e1546fdaed16ced76178525689b5eaa')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', '49e57bab3f6dd2fc4b272cf425f7d3db697f919cceeca1599865261af5846ab7')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', '8e055f964ec461d47d23841fea94867c4fb4528dfd79f7963a7909a9245e43a5')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', 'ae93dd03db6be92e8d08905592fdd1fb9ed9b64fec6573a12e77263b0026d493')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('46', 'ab7f0bde5117eec65f227761bf9087cfaf19c7c037f96028ab64eaf126e64b91')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', '3592c3bad324550993751a0b8707b5e51a21029309c663efbd00bcad91c3f075')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', 'ea1d3dd258185bef8879480a0ccf16018bf6c93e3ec9767087088335076d2613')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', 'd5b064a7792e6e2bd59a72a70443c1449215f66c812abcceba0cfdf730614b3b')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', 'a0150a8ea0b7b9a4cabd4f8db51a6cc5f71f2d6099cf43b11956625b580faf45')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', '475931ae19c516959bef81d19af3965a60e59ec74b8872a9cfb2ce8951fe6fc8')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('1', 'aa85ee88e8b2dbf5431be50966078be43460fc7707fe041429a4380a93b741e8')))
('4c4e55c7a3555fca15fccae6fac6d302cb2f9621bb7c7d67058aa1287803bf16', (('0', '0.53'), ('0', '1dc16e043d5b92d458568faceea60cddb35608bb19836ed973647c95d2a4ba49')))
('1894618a875f8f34368606e985d9f1ca755ba77a96ae6762537d967c29c857dc', (('1', '0.12'), ('0', '820d60bb08a3d8fab4690a28798e7d28b2fb55994d8fcf621a0fbbdf7fe62c82')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('16', '31f7ad90a87fad31f156b4105b1f99cc48cfa33b372a4af9cfc3d2bfdfa9f801')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('15', '2cad5bda162c681e96ac03fe03eeccef6b4ac23ec792759f92f4cf6e8e4ac004')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('13', 'fe48b7af0d05587724d36232f1a782147075100878e207578e18a763dd981f08')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('12', '194ffbb7d3805975132908359f04fb54831c6dff2475cfbc34a3b2f457670e0d')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('11', 'f3493e8934da2fc8cf58698332731f3b4235f37594f67170cb9c7f938687e50d')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('9', '6afb3ebd9218d9ed2a2969936eab04b8e34bdd9206184db79e79838ab80c300e')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('2', '9c852ad2029cf8e10820722f36006965801c24bd5c84e927e0193e2659f4a010')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('155', 'ad2603017a64c8c4b37354ce6a999e5d729812254a41c0e0d1b4d0e7fd7f9913')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('155', 'a7ed25e1c1e36c70b5ca7fd820184385dbe7cd96987e8271a77aacb67f23ea13')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('14', '01bb0e45a54037be3c3082fd7b49f52276716ef8fd1b7dee8026747c06c9bb16')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('9', '40f59f07b5ff1f214ee22d9a11a17bd7784e8e65bc0960f20d4a24cc8e1ff717')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('11', '42036cd9b55e24fe32fecc39647d9866e4450e07ca256a99447cd1f6ae6d6820')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('20', 'b389c48c0d732047f1de337f8e4fc453c1007034a4eb58a0e6cb55db7681be20')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('155', 'a9f7ffbcbb762e497b38d754516d6220b394a775c30da3e597da7aeeb2fa1125')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('13', '464a88125c60a860dac66c9918e67ecabfa8785463c64fb9442c3d080adb1626')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('6', 'a642bc8341725b311d9459929a9241d4f8db93c0229570f719690d9c1a081028')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('155', '3aaa396a6c7357f6acd828be4cf80d6e2af13c792251cf010fef8c3b0bf30a2a')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('5', 'ef179aaaf853c9e439fb727bb1b59b2527bb65abd1bfea239a35e96d1d67032d')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('2', '7e8277271416e9fd18dddc36c7becfcc5a47aeb919c336eac6452a4d8545e42e')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('7', '65a82b2baafdb9f55660ce1823744a86cabb56fa832a3da9571dcdbb490e1432')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('7', '510961b7056c02151ae5e8d1df1fa0751dcfb2b13875236cdeaf7fe7d740443b')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('156', '3673101f5757b64379f8d3ce579de0e1285c03cb45d5a6dbe4c3afed99cace3b')))
('7007a2929d1251a0f6e7064e1f9e9ec7cfaab3359e5d957396339947be31f702', (('0', '0.04'), ('54', 'bf382c34d492c87ec76254a8c77a2bbf381c9bc327e654f1d4d2a89ac636fc41')))
